OPERATING_AGENCY,PROGRAM_SITE,STREET_ADDRESS,POSTAL_CODE,POPULATION,CAPACITY_TYPE,CAPACITY_BEDS,CAPACITY_ROOMS,PROGRAMS_ON_SITE,LON,LAT
La Passerelle Integration et Development Economique,La Passerelle I.D.E. L'Agapanthe,179 Gerrard St. East,M5A 2E5,41,Beds,50,,1,-79.373353,43.660869
Margaret's Housing and Community Support Services,Margaret's 21 Park Rd Respite,21 Park Rd,M4W 2N1,30,Beds,30,,1,-79.384598,43.67205
Matthew House Refugee Services-Toronto,Matthew House - Eunice House,30 Eunice Rd,M2K 2V5,9,Beds,13,,1,-79.371099,43.771646
Matthew House Refugee Services-Toronto,Matthew House - Dundas House,981 Dundas St W,M6J 1W4,2,Beds,8,,1,-79.415497,43.65017
Na-Me-Res (Native Men's Residence),Sagatay,26 Vaughan Rd,M6G 2C4,12,Beds,17,,1,-79.418545,43.681779
Na-Me-Res (Native Men's Residence),Na-Me-Res,14 Vaughan Rd,M6G 2N1,62,Beds,71,,2,-79.41845,43.681392
Native Child & Family Services Toronto,Native Child & Family - Spadina,111 Spadina Rd,M5R 2T1,9,Beds,14,,1,-79.405573,43.671125
Native Child & Family Services Toronto,Native Child & Family Services Toronto,558 Bathurst St,M5S 2P9,7,Beds,12,,1,-79.409009,43.658409
Sistering: A Women's Place,Sistering,962 Bloor St W,M6H 1L6,16,Beds,16,,1,-79.428787,43.661418
Society of St.Vincent De Paul,SVDP Amelie House,126 Pape Ave,M4M 2V8,21,Beds,21,,1,-79.338786,43.662763
Society of St.Vincent De Paul,SVDP Elisa House,60 Newcastle St,M8Y 1A3,34,Beds,35,,2,-79.497502,43.618151
Society of St.Vincent De Paul,SVDP Mary's Home,70 Gerrard St E,M5B 1G6,39,Beds,39,,1,-79.378604,43.660081
Society of St.Vincent De Paul,SVDP St. Clare's Residence,3410 Bayview Ave,M2M 3S3,30,Beds,30,,1,-79.395635,43.798046
St. Felix Social Ministries Outreach,St. Felix Ctr - Adelaide Shelter,629 Adelaide St W,M6J 1A8,50,Beds,50,,1,-79.404825,43.644751
St. Felix Social Ministries Outreach,St. Felix Centre 69 Fraser Ave. Respite,69 Fraser Ave,M6K 1E9,72,Beds,72,,1,-79.424153,43.638364
St. Simon's Shelter Inc.,St. Simon's Clubbe House,556 Sherbourne St,M4X 1L4,30,Rooms,,30,1,-79.376892,43.670858
Street Haven At The Crossroads,Street Haven Downtown Hotel Program,26 Gerrard St E,M5B 1G3,47,Rooms,,33,1,-79.381264,43.659522
Street Haven At The Crossroads,Street Haven,87 Pembroke St,M5A 2N9,30,Beds,30,,1,-79.372626,43.659178
The MUC Shelter Corporation,Sojourn House Hotel Program,165 Grange Ave,M5T 2V5,209,Rooms,75,,1,-79.400928,43.651096
The MUC Shelter Corporation,Sojourn House Ontario St,101 Ontario St,M5A 2V2,176,Beds,94,27,2,-79.366907,43.654534
The Salvation Army of Canada,Etobicoke Hotel Site 1,66 Norfinch Dr,M3N 1X1,197,Rooms,,108,2,-79.53007,43.757227
The Salvation Army of Canada,SA Scarborough Hotel Program,50 Estate Dr,M1H 2Z1,194,Both,68,96,2,-79.23617,43.783201
The Salvation Army of Canada,SA Islington Seniors' Shelter,2671 Islington Ave,M9V 2X6,82,Beds,83,,2,-79.566091,43.739334
The Salvation Army of Canada,SA New Hope Leslieville,29A Leslie St,M4M 3C3,52,Beds,52,,1,-79.329588,43.662043
The Salvation Army of Canada,Maxwell Meighen Centre,135 Sherbourne St,M5A 2R5,283,Beds,283,,1,-79.369446,43.655018
The Salvation Army of Canada,SA Gateway,107 Jarvis St,M5C 2H4,78,Beds,78,,1,-79.372674,43.652258
The Salvation Army of Canada,SA Evangeline Residence,2808 Dundas St W,M6P 1Y5,86,Beds,86,,1,-79.463159,43.665487
The Scott Mission Inc.,The Scott Mission - Kensington location,346 Spadina Ave.,M5T 1J5,71,Beds,71,,1,-79.399078,43.654136
The Scott Mission Inc.,Scott Mission,502 Spadina Ave,M5S 2H1,65,Beds,65,,1,-79.401007,43.65863
Toronto Refugee Community Non-Profit Homes and Services,Romero-Edna Lane House,2387 Dundas Street West,M6P 1X2,33,Rooms,,13,1,-79.452916,43.657646
Turning Point Youth Services,Turning Point Youth Services,95 Wellesley St E,M4Y 2X9,35,Beds,35,,1,-79.379229,43.665853
Warden Woods Community Centre,Scarborough Hotel Program 1,4584 Kingston Rd,M1E 2P4,45,Beds,45,,1,-79.18411,43.774569
WoodGreen Red Door Family Shelter,Red Door Family Shelter,189B Booth Ave,M4M 2M5,99,Rooms,,27,,-79.343236,43.659755
YMCA of Greater Toronto,YMCA Sprott House,21 Walmer Rd,M5R 2W7,25,Beds,25,,1,-79.405691,43.667713
YMCA of Greater Toronto,Wagner Green YMCA,7 Vanauley St,M5T 2V9,40,Beds,40,,1,-79.398507,43.648769
Youth Without Shelter,Youth Without Shelter,6 Warrendale Ct,M9V 1P9,33,Beds,33,,1,-79.580466,43.73631
Youth Without Shelter,Youth Without Shelter,6 Warrendale Ct,M9V 1P9,20,Beds,20,,1,-79.580466,43.73631
YouthLink,YouthLink,747 Warden Ave,M1L 4A1,42,Beds,51,,2,-79.282827,43.717841
YWCA Toronto,YWCA Davenport Shelter,348 Davenport Road,M5R 1K6,69,Beds,,71,2,-79.401571,43.675342
YWCA Toronto,YWCA 1st Stop Woodlawn,80 Woodlawn Ave E,M4T 1C1,61,Beds,62,,2,-79.389909,43.684727
