CMA_NAME,CMA_CODE,CS_CODE,CTNAME,STATUS,MUNICIPALUNIT,POPULATION_2021
Toronto,35535,3520005,0126.00,Census Tract,Toronto,4164
Toronto,35535,3520005,0127.00,Census Tract,Toronto,5293
Toronto,35535,3520005,0128.02,Census Tract,Toronto,12611
Toronto,35535,3520005,0128.04,Census Tract,Toronto,4772
Toronto,35535,3520005,0128.05,Census Tract,Toronto,1127
Toronto,35535,3520005,0128.06,Census Tract,Toronto,4870
Toronto,35535,3520005,0129.00,Census Tract,Toronto,5642
Toronto,35535,3520005,0130.00,Census Tract,Toronto,3355
Toronto,35535,3520005,0131.00,Census Tract,Toronto,5258
Toronto,35535,3520005,0132.00,Census Tract,Toronto,5350
Toronto,35535,3520005,0133.00,Census Tract,Toronto,7082
Toronto,35535,3520005,0134.00,Census Tract,Toronto,2911
Toronto,35535,3520005,0135.00,Census Tract,Toronto,6782
Toronto,35535,3520005,0136.01,Census Tract,Toronto,7267
Toronto,35535,3520005,0136.02,Census Tract,Toronto,8740
Toronto,35535,3520005,0137.00,Census Tract,Toronto,6916
Toronto,35535,3520005,0138.00,Census Tract,Toronto,3010
Toronto,35535,3520005,0139.01,Census Tract,Toronto,4316
Toronto,35535,3520005,0139.02,Census Tract,Toronto,2440
Toronto,35535,3520005,0140.00,Census Tract,Toronto,2341
Toronto,35535,3520005,0141.01,Census Tract,Toronto,4493
Toronto,35535,3520005,0141.02,Census Tract,Toronto,4653
Toronto,35535,3520005,0142.00,Census Tract,Toronto,5589
Toronto,35535,3520005,0150.00,Census Tract,Toronto,4210
Toronto,35535,3520005,0151.00,Census Tract,Toronto,3756
Toronto,35535,3520005,0152.00,Census Tract,Toronto,4653
Toronto,35535,3520005,0153.00,Census Tract,Toronto,4460
Toronto,35535,3520005,0154.00,Census Tract,Toronto,6192
Toronto,35535,3520005,0155.00,Census Tract,Toronto,3080
Toronto,35535,3520005,0156.01,Census Tract,Toronto,5700
Toronto,35535,3520005,0156.02,Census Tract,Toronto,2810
Toronto,35535,3520005,0157.00,Census Tract,Toronto,2716
Toronto,35535,3520005,0158.00,Census Tract,Toronto,3036
Toronto,35535,3520005,0159.01,Census Tract,Toronto,3506
Toronto,35535,3520005,0159.02,Census Tract,Toronto,4865
Toronto,35535,3520005,0160.00,Census Tract,Toronto,3152
Toronto,35535,3520005,0161.00,Census Tract,Toronto,6885
Toronto,35535,3520005,0162.00,Census Tract,Toronto,4846
Toronto,35535,3520005,0163.00,Census Tract,Toronto,4308
Toronto,35535,3520005,0164.00,Census Tract,Toronto,6002
Toronto,35535,3520005,0165.00,Census Tract,Toronto,4209
Toronto,35535,3520005,0166.00,Census Tract,Toronto,4024
Toronto,35535,3520005,0167.01,Census Tract,Toronto,2446
Toronto,35535,3520005,0167.02,Census Tract,Toronto,5745
Toronto,35535,3520005,0168.00,Census Tract,Toronto,5674
Toronto,35535,3520005,0169.01,Census Tract,Toronto,3587
Toronto,35535,3520005,0169.02,Census Tract,Toronto,7596
Toronto,35535,3520005,0170.00,Census Tract,Toronto,3407
Toronto,35535,3520005,0171.00,Census Tract,Toronto,3914
Toronto,35535,3520005,0172.00,Census Tract,Toronto,2505
Toronto,35535,3520005,0173.00,Census Tract,Toronto,3586
Toronto,35535,3520005,0174.00,Census Tract,Toronto,7062
Toronto,35535,3520005,0175.01,Census Tract,Toronto,5963
Toronto,35535,3520005,0175.02,Census Tract,Toronto,8672
Toronto,35535,3520005,0176.00,Census Tract,Toronto,4261
Toronto,35535,3520005,0180.00,Census Tract,Toronto,6462
Toronto,35535,3520005,0181.01,Census Tract,Toronto,4382
Toronto,35535,3520005,0181.02,Census Tract,Toronto,3546
Toronto,35535,3520005,0182.00,Census Tract,Toronto,5407
Toronto,35535,3520005,0183.01,Census Tract,Toronto,2623
Toronto,35535,3520005,0183.02,Census Tract,Toronto,4035
Toronto,35535,3520005,0184.01,Census Tract,Toronto,5008
Toronto,35535,3520005,0184.02,Census Tract,Toronto,3671
Toronto,35535,3520005,0185.01,Census Tract,Toronto,6836
Toronto,35535,3520005,0185.02,Census Tract,Toronto,4244
Toronto,35535,3520005,0186.00,Census Tract,Toronto,2382
Toronto,35535,3520005,0187.00,Census Tract,Toronto,3473
Toronto,35535,3520005,0188.00,Census Tract,Toronto,2031
Toronto,35535,3520005,0189.00,Census Tract,Toronto,5655
Toronto,35535,3520005,0190.01,Census Tract,Toronto,8588
Toronto,35535,3520005,0190.02,Census Tract,Toronto,4612
Toronto,35535,3520005,0191.00,Census Tract,Toronto,4372
Toronto,35535,3520005,0192.00,Census Tract,Toronto,843
Toronto,35535,3520005,0193.00,Census Tract,Toronto,3264
Toronto,35535,3520005,0194.01,Census Tract,Toronto,7821
Toronto,35535,3520005,0194.02,Census Tract,Toronto,4717
Toronto,35535,3520005,0194.03,Census Tract,Toronto,2700
Toronto,35535,3520005,0194.04,Census Tract,Toronto,5399
Toronto,35535,3520005,0195.01,Census Tract,Toronto,4425
Toronto,35535,3520005,0195.02,Census Tract,Toronto,2384
Toronto,35535,3520005,0196.01,Census Tract,Toronto,1942
Toronto,35535,3520005,0196.02,Census Tract,Toronto,5577
Toronto,35535,3520005,0200.01,Census Tract,Toronto,5594
Toronto,35535,3520005,0200.02,Census Tract,Toronto,1049
Toronto,35535,3520005,0201.00,Census Tract,Toronto,5528
Toronto,35535,3520005,0202.00,Census Tract,Toronto,1640
Toronto,35535,3520005,0203.00,Census Tract,Toronto,3425
Toronto,35535,3520005,0204.00,Census Tract,Toronto,4596
Toronto,35535,3520005,0205.00,Census Tract,Toronto,144
Toronto,35535,3520005,0206.01,Census Tract,Toronto,5106
Toronto,35535,3520005,0206.02,Census Tract,Toronto,6294
Toronto,35535,3520005,0207.00,Census Tract,Toronto,2597
Toronto,35535,3520005,0208.00,Census Tract,Toronto,4165
Toronto,35535,3520005,0209.00,Census Tract,Toronto,2862
Toronto,35535,3520005,0210.01,Census Tract,Toronto,3703
Toronto,35535,3520005,0210.03,Census Tract,Toronto,6959
Toronto,35535,3520005,0210.04,Census Tract,Toronto,10080
Toronto,35535,3520005,0211.00,Census Tract,Toronto,6884
Toronto,35535,3520005,0212.00,Census Tract,Toronto,5712
Toronto,35535,3520005,0213.01,Census Tract,Toronto,2658
Toronto,35535,3520005,0213.02,Census Tract,Toronto,6301
Toronto,35535,3520005,0214.00,Census Tract,Toronto,6728
Toronto,35535,3520005,0215.00,Census Tract,Toronto,7151
Toronto,35535,3520005,0216.00,Census Tract,Toronto,5489
Toronto,35535,3520005,0217.00,Census Tract,Toronto,5900
Toronto,35535,3520005,0218.00,Census Tract,Toronto,2674
Toronto,35535,3520005,0219.00,Census Tract,Toronto,4531
Toronto,35535,3520005,0220.00,Census Tract,Toronto,4196
Toronto,35535,3520005,0221.01,Census Tract,Toronto,6363
Toronto,35535,3520005,0221.02,Census Tract,Toronto,5269
Toronto,35535,3520005,0222.01,Census Tract,Toronto,7105
Toronto,35535,3520005,0222.02,Census Tract,Toronto,4985
Toronto,35535,3520005,0223.01,Census Tract,Toronto,1522
Toronto,35535,3520005,0223.02,Census Tract,Toronto,2180
Toronto,35535,3520005,0224.00,Census Tract,Toronto,1650
Toronto,35535,3520005,0225.01,Census Tract,Toronto,5209
Toronto,35535,3520005,0225.02,Census Tract,Toronto,10827
Toronto,35535,3520005,0226.00,Census Tract,Toronto,2813
Toronto,35535,3520005,0227.00,Census Tract,Toronto,1752
Toronto,35535,3520005,0228.00,Census Tract,Toronto,3144
Toronto,35535,3520005,0229.00,Census Tract,Toronto,1226
Toronto,35535,3520005,0230.01,Census Tract,Toronto,2649
Toronto,35535,3520005,0230.02,Census Tract,Toronto,6558
Toronto,35535,3520005,0231.00,Census Tract,Toronto,6273
Toronto,35535,3520005,0232.00,Census Tract,Toronto,3820
Toronto,35535,3520005,0233.00,Census Tract,Toronto,5707
Toronto,35535,3520005,0234.00,Census Tract,Toronto,4531
Toronto,35535,3520005,0235.01,Census Tract,Toronto,2902
Toronto,35535,3520005,0235.02,Census Tract,Toronto,5166
Toronto,35535,3520005,0236.01,Census Tract,Toronto,6949
Toronto,35535,3520005,0236.02,Census Tract,Toronto,5902
Toronto,35535,3520005,0237.01,Census Tract,Toronto,6641
Toronto,35535,3520005,0237.02,Census Tract,Toronto,3003
Toronto,35535,3520005,0237.03,Census Tract,Toronto,5935
Toronto,35535,3520005,0238.01,Census Tract,Toronto,3500
Toronto,35535,3520005,0238.02,Census Tract,Toronto,5306
Toronto,35535,3520005,0239.00,Census Tract,Toronto,6715
Toronto,35535,3520005,0240.01,Census Tract,Toronto,3377
Toronto,35535,3520005,0240.02,Census Tract,Toronto,6089
Toronto,35535,3520005,0241.00,Census Tract,Toronto,2772
Toronto,35535,3520005,0242.00,Census Tract,Toronto,1566
Toronto,35535,3520005,0243.01,Census Tract,Toronto,6212
Toronto,35535,3520005,0243.02,Census Tract,Toronto,3793
Toronto,35535,3520005,0244.01,Census Tract,Toronto,3663
Toronto,35535,3520005,0244.02,Census Tract,Toronto,5703
Toronto,35535,3520005,0245.00,Census Tract,Toronto,7033
Toronto,35535,3520005,0246.00,Census Tract,Toronto,3345
Toronto,35535,3520005,0247.01,Census Tract,Toronto,9027
Toronto,35535,3520005,0247.02,Census Tract,Toronto,7213
Toronto,35535,3520005,0248.02,Census Tract,Toronto,5538
Toronto,35535,3520005,0248.03,Census Tract,Toronto,2651
Toronto,35535,3520005,0248.04,Census Tract,Toronto,4945
Toronto,35535,3520005,0248.05,Census Tract,Toronto,4285
Toronto,35535,3520005,0249.01,Census Tract,Toronto,4598
Toronto,35535,3520005,0249.03,Census Tract,Toronto,5569
Toronto,35535,3520005,0249.04,Census Tract,Toronto,2709
Toronto,35535,3520005,0249.05,Census Tract,Toronto,5606
Toronto,35535,3520005,0250.01,Census Tract,Toronto,5047
